Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
8324575940,"Aug 13, 2022, 1:44:29 PM",Sortie vélo dans l'après-midi,Ride,"",10202,53.37,,,false,"",Giant Defy,activities/8925862461.gpx.gz,,7.0,10202.0,7987.0,53378.56640625,15.398361206054688,6.683180809020996,387.8324890136719,387.73199462890625,203.8000030517578,301.8999938964844,9.690635681152344,0.00018734110926743597,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11890920.0,,,,,,,,,,,0.0,5.232166767120361,2634.10009765625,,,,,,,,,,,,""
8324579552,"Aug 11, 2022, 6:20:49 AM",Tour des Monts du Lyonnais,Ride,"",14544,50.14,,,false,"",Giant Defy,activities/8925866559.gpx.gz,,7.0,14544.0,10466.0,50148.3359375,15.108129501342773,4.7915472984313965,1327.131103515625,1328.1300048828125,331.8999938964844,810.0,45.568416595458984,-0.0019940841011703014,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11890920.0,,,,,,,,,,,0.0,3.448042869567871,1505.0,,,,,,,,,,,,""
8324590378,"May 23, 2022, 4:37:36 PM",Sortie vélo en soirée,Ride,"",3245,20.03,,,false,"",Rockrider,activities/8925878928.gpx.gz,,7.0,3245.0,3119.0,20035.5078125,11.990259170532227,6.423696041107178,23.686269760131836,22.086299896240234,148.8000030517578,155.89999389648438,8.811203956604004,0.007985821925103664,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11890927.0,,,,,,,,,,,0.0,6.1742706298828125,322.70001220703125,,,,,,,,,,,,""
8324596518,"May 7, 2022, 7:10:00 AM",Sortie vélo le matin,Ride,"",11217,50.90,,,false,"",Giant Defy,activities/8925885674.gpx.gz,,7.0,11217.0,8949.0,50906.11328125,15.645801544189453,5.688469409942627,896.5910034179688,896.5910034179688,193.1999969482422,368.70001220703125,18.192312240600586,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11890920.0,,,,,,,,,,,0.0,4.538300037384033,3308.0,,,,,,,,,,,,""
8324607034,"Mar 20, 2022, 3:22:17 PM",Sortie vélo dans l'après-midi,Ride,"",3662,22.78,,,false,"",Rockrider,activities/8925897496.gpx.gz,,7.0,3662.0,3529.0,22779.564453125,10.841140747070312,6.454962730407715,21.534761428833008,21.934799194335938,149.10000610351562,157.89999389648438,10.527048110961914,-0.0017559598200023174,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11890927.0,,,,,,,,,,,0.0,6.22052526473999,1148.4000244140625,,,,,,,,,,,,""
8324609734,"Mar 1, 2022, 2:25:28 PM",Sortie vélo dans l'après-midi,Ride,"",9745,50.20,168.0,85,false,"",Giant Defy,activities/8925900437.gpx.gz,,7.0,9745.0,6956.0,50205.45703125,14.04980754852295,7.217576026916504,380.8852233886719,380.7850036621094,206.0,290.6000061035156,11.489636421203613,0.00019918152247555554,,,,,,136.51290893554688,,,,,,85.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11890920.0,,,,,,,,,,,0.0,5.151919841766357,1247.9000244140625,,,,,,,,,,,,""
8324611875,"Feb 3, 2022, 10:26:17 AM",Sortie vélo le midi,Ride,"",5145,30.15,167.0,68,false,"",Rockrider,activities/8925902846.gpx.gz,,,5145.0,5031.0,30157.724609375,9.071428298950195,5.994374752044678,23.559999465942383,23.860000610351562,149.10000610351562,158.39999389648438,4.680850982666016,-0.0009947707876563072,,,,,,139.2740936279297,,,,,,68.0,,,,,,,,,,,,,0.0,,1.0,30196.80078125,,,,,,,,,,,,,,,11890927.0,,,,,,,,,,,0.0,5.861559867858887,1978.9000244140625,,,,,,,,,,,,""
8324617705,"Jan 3, 2022, 1:17:04 PM",Sortie vélo dans l'après-midi,Ride,"",7901,41.98,,,false,"",Giant Defy,activities/8925909311.gpx.gz,,7.0,7901.0,6875.0,41984.5234375,12.71570110321045,6.106840133666992,317.7554931640625,317.6549987792969,206.0,312.70001220703125,11.492745399475098,0.00023818299814593047,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11890920.0,,,,,,,,,,,0.0,5.31382417678833,3716.800048828125,,,,,,,,,,,,""
8324623798,"Aug 8, 2021, 7:07:10 AM",Sortie vélo le matin,Ride,"",10428,50.39,,,false,"",Giant Defy,activities/8925916035.gpx.gz,,7.0,10428.0,8810.0,50397.2421875,14.893547058105469,5.720458507537842,862.779296875,862.7789916992188,193.1999969482422,368.70001220703125,17.35375213623047,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11890920.0,,,,,,,,,,,0.0,4.832877159118652,2900.10009765625,,,,,,,,,,,,""
8324626105,"Jul 5, 2021, 2:09:48 PM",Sortie vélo dans l'après-midi,Ride,"",7304,40.90,,,false,"",Giant Defy,activities/8925918703.gpx.gz,,7.0,7304.0,6160.0,40907.6640625,11.970645904541016,6.640854358673096,273.2786560058594,273.3789978027344,206.0,280.1000061035156,8.685317039489746,-0.00024445296730846167,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11890920.0,,,,,,,,,,,0.0,5.6007208824157715,535.5,,,,,,,,,,,,""
